0	0	0	0	6	0	0	0	0	0	0
0	0	0	45	4	0	0	1	0	0	0
0	0	0	0	0	0	83	0	0	0	0
0	0	0	0	0	0	0	27	0	24	185
98	100	73	220	308	309	420	206	1102	130	3846
0	11	0	47	37	94	11	91	312	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
8	10	0	45	44	23	0	17	244	27	5
9	2	15	0	0	11	64	31	250	24	54
10	11	4	25	6	30	34	33	124	76	150
16	24	22	163	0	66	15	7	701	159	155
14	31	15	58	82	188	26	53	74	28	311
8	21	10	5	46	58	68	40	723	0	100
